Ruta,Dia,Tiempo_recorrido_min,Pasajeros,Clima
Ruta 2,Sábado,59,41,Lluvioso
Ruta 1,Martes,37,7,Nublado
Ruta 2,Sábado,35,46,Nublado
Ruta 5,Martes,19,19,Soleado
Ruta 5,Domingo,28,44,Soleado
Ruta 1,Jueves,52,11,Lluvioso
Ruta 3,Viernes,18,14,Nublado
Ruta 5,Viernes,27,38,Nublado
Ruta 3,Sábado,22,28,Lluvioso
Ruta 1,Viernes,38,6,Nublado
Ruta 4,Sábado,28,23,Soleado
Ruta 5,Miércoles,20,35,Nublado
Ruta 3,Viernes,44,12,Nublado
Ruta 2,Domingo,46,14,Soleado
Ruta 4,Viernes,55,47,Lluvioso
Ruta 2,Miércoles,40,38,Soleado
Ruta 1,Martes,47,48,Soleado
Ruta 4,Lunes,17,40,Soleado
Ruta 3,Domingo,56,14,Nublado
Ruta 5,Miércoles,17,27,Nublado
Ruta 3,Miércoles,48,16,Nublado
Ruta 1,Domingo,43,29,Nublado
Ruta 1,Viernes,58,21,Soleado
Ruta 3,Martes,55,37,Lluvioso
Ruta 2,Martes,52,41,Nublado
Ruta 3,Sábado,41,35,Soleado
Ruta 5,Viernes,35,50,Soleado
Ruta 5,Sábado,45,23,Soleado
Ruta 3,Lunes,47,5,Soleado
Ruta 2,Miércoles,23,19,Soleado
Ruta 5,Viernes,19,26,Lluvioso
Ruta 2,Jueves,15,33,Soleado
Ruta 5,Lunes,20,18,Soleado
Ruta 4,Sábado,49,34,Soleado
Ruta 4,Domingo,58,31,Nublado
Ruta 4,Domingo,59,17,Lluvioso
Ruta 5,Jueves,49,35,Nublado
Ruta 4,Domingo,53,5,Soleado
Ruta 2,Lunes,42,25,Lluvioso
Ruta 3,Lunes,37,41,Nublado
Ruta 5,Viernes,56,36,Nublado
Ruta 5,Jueves,22,19,Soleado
Ruta 1,Sábado,21,40,Lluvioso
Ruta 2,Lunes,23,13,Lluvioso
Ruta 3,Miércoles,27,8,Lluvioso
